Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
Emergence of tick-borne diseases at northern latitudes in Europe: a comparative approach,https://doi.org/10.1038/s41598-017-15742-6,Mysterud et al.,2017,,Human anaplasmosis,"Lyme borreliosis, Babesia divergens",Ixodes sp.,NOR,Norway,Norway,cumulative disease cases by admin units,Endemicity mapping,Anaplasma phagocytophilum cases detected in cattle and sheep,"Sheep,Cattle",,
 Habitat factors influencing distributions of Anaplasma phagocytophilum and Ehrlichia chaffeensis in the Mississippi Alluvial Valley,https://doi.org/10.1089/vbz.2007.0116,Manangan et al. ,2007,,Human anaplasmosis,Ehrlichiosis (EHRLICHIA CHAFFEENSIS),"Amblyomma americanum,Ixodes scapularis",USA,the United States of America,Mississippi River Valley,"Plotted seropositive white-tailed deer, projected LR model","Grey data,Risk mapping",White-tailed deer serum samples,White-tailed deer,,
Enhanced spatial models for predicting the geographic distributions of tick-borne pathogens,https://doi.org/10.1186/1476-072X-7-15,Wimberly et al. ,2008,,Human anaplasmosis,EHRLICHIA CHAFFEENSIS (Ehrlichia chaffeensis is transmitted by Amblyomma americanum (lone-star tick). Anaplasma phagocytophilum is transmitted by Ixodes scapularis),"Ixodes scapularis,Amblyomma americanum",USA,the United States of America,Eastern and Central United States,hierarchical Bayesian modelling approach,"Endemicity mapping,Prevalence modeling,Prevalence mapping",White-tailed deer serum samples,White-tailed deer,,
Tick-borne pathogens in Ixodidae ticks collected from privately-owned dogs in Italy: a country-wide molecular survey,https://doi.org/10.1186/s12917-020-2263-4,Zanet et al.,2020,,Human anaplasmosis,"Babesia/Theileria piroplasms, Anaplasma/Ehrlichia spp., and Borrelia burgdorferi s.l. ",Ixodes ricinus,ITA,Italy,Italy,Mapped distribution of detected pathogens,Endemicity mapping,,Domestic dog,,ticks collected from domestic dogs
Identification of Bio-climatic Determinants and Potential Risk Areas for Kyasanur Forest Disease in Southern India using MaxEnt Modelling Approach,DOI:10.21203/rs.2.22417/v1,Pramanik et al.,2020,checked,Kyasanur,,Haemaphysalis spiniger,IND,India,southern India,MaxEnt,"Ecological niche modeling,Grey data,Endemicity mapping",H. spiniger occurrence,,,systematic literature review
"Geospatial clustering, seasonal trend and forecasting of Kyasanur Forest Disease in the state of Goa, India, 2015–2018",https://doi.org/10.1186/s41182-020-00213-y,Oliveira et al. ,2020,,Kyasanur,,,IND,India,"Goa, India",mapped incidence and Moran's I,"Prevalence mapping,Cluster analysis",KFD cases from surveillance network,Human,checked,
Predicting disease risk areas through co-production of spatial models: The example of Kyasanur Forest Disease in India's forest landscapes,https://doi.org/10.1371/journal.pntd.0008179,Purse et al. ,2020,,Kyasanur,,,IND,India,"Shivamogga district, India",BRT,"Ecological niche modeling,Grey data",KFD cases  ,Human,checked,PCR and ELISA
Preliminary risk maps for transmission of kyasanur forest disease in Southern India,https://doi.org/10.4103/0019-557X.200262,Peterson and Talukdar,2017,,Kyasanur,,,IND,India,southern India,MaxEnt,Ecological niche modeling,KFD in humans,Human,checked,ProMED archives
Identifying Environmental Risk Factors for Louping Ill Virus Seroprevalence in Sheep and the Potential to Inform Wildlife Management Policy,doi: 10.3389/fvets.2020.00377,Gilbert et al.,2020,,Louping Ill,,Ixodes ricinus,GBR,United Kingdom of Great Britain and Northern Ireland,"Scotland, UK",Mapped seroprevalence of LIV in sheep,Prevalence mapping,Sheep seroprevalence,Sheep,,
"Spatio-temporal patterns in county-level incidence and reporting of Lyme disease in the northeastern United States, 1990–2000", 10.1007/s10651-006-0002-z,Lance A. Waller · Brett J. Goodwin · Mark L. Wilson · Richard S. Ostfeld ·Stacie L. Marshall · Edward B. Hayes,2007,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,NE USA,hierarchical linear modeling,"Endemicity mapping,Prevalence mapping,Prevalence modeling,Risk mapping",Lyme cases,Human,checked,
Integrating Spatial Epidemiology Into a Decision Model for Evaluation of Facial Palsy in Children,10.1001/archpediatrics.2010.250,"Andrew M. Fine, MD, MPH; John S. Brownstein, PhD; Lise E. Nigrovic, MD, MPH; Amir A. Kimia, MD; Karen L. Olson, PhD; Amy D. Thompson, MD; Kenneth D. Mandl, MD, MPH",2011,,Lyme borreliosis,,,USA,the United States of America,"Massachusetts, USA",Mapped Lyme incidence,Prevalence mapping,Lyme cases,Human,checked,
An Examination of the Demographic and Environmental Variables Correlated with Lyme Disease Emergence in Virginia,10.1007/s10393-015-1034-3,"Sara E. Seukep,1 Korine N. Kolivras,1 Yili Hong,2 Jie Li,2 Stephen P. Prisley,3James B. Campbell,1 David N. Gaines,4 and Randel L. Dymond5",2015,,Lyme borreliosis,,"Ixodes scapularis,Ixodes pacificus",USA,the United States of America,"Virginia, USA",Mapped Lyme disease emergence,"Grey data,Risk mapping",Lyme disease cases,Human,checked,
Investigation of Genotypes of Borrelia burgdorferi in Ixodes scapularis Ticks Collected during Surveillance in Canada,10.1128/AEM.02636-10,"N. H. Ogden, G. Margos, D. M. Aanensen, M. A. Drebot, E. J. Feil, K. Hanincová, I. Schwartz, S. Tyler, L. R. Lindsay",2011,,Lyme borreliosis,Borrelia miyamotoi,Ixodes scapularis,CAN,Canada,Canada,Mapped genetic sequence types,"Grey data,Genetic mapping",ticks screened for Borrelia,,,submitted from veterinary clinics
"Trends in canine seroprevalence to Borrelia burgdorferi and Anaplasma spp. in the eastern USA, 2010–2017",10.1186/s13071-019-3735-x,Dewage et al.,2019,,Lyme borreliosis,Anaplasma phagocytophilum,Ixodes scapularis,USA,the United States of America,eastern USA,Mapped seroprevalence in domestic dogs,Endemicity mapping,,Domestic dog,,
Predicting the Risk of Lyme Disease: Habitat Suitability for Ixodes scapularis in the North Central United States,10.3201/eid0803.010166,"Marta Guerra,* Edward Walker,† Carl Jones,* Susan Paskewitz,‡ M. Roberto Cortinas,* Ashley Stancil,‡ Louisa Beck,§ Matthew Bobo,§ and Uriel Kitroncorresponding author*",2002,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,Wisconsin and Illinois.,"overlay, logistic regression","Grey data,Endemicity mapping,Risk mapping","collected ticks and pathogen tested, small mammal hosts",,,
"Mapping Lyme Disease Incidence for Diagnostic and Preventive Decisions, Maryland",10.3201/eid0804.000413,"Christina Frank,* Alan D. Fix,* César A. Peña,† and G. Thomas Stricklandcorresponding author*",2002,,Lyme borreliosis,,,USA,the United States of America,Maryland,Plotting incidence,Prevalence mapping,Average annual incidence of Lyme disease by zip code,Human,checked,
"Ecological Niche Modeling of Lyme Disease in British Columbia, Canada ",doi.org/10.1093/jmedent/47.1.99,Mak et al.,2010,,Lyme borreliosis,,"Ixodes pacificus,Ixodes angustus",CAN,Canada,"British Columbia, Canada",GARP,"Ecological niche modeling,Grey data",Ticks and rodents screened for pathogen,Rodent,,
Lyme Disease Risk Influences Human Settlement in the Wildland–Urban Interface: Evidence from a Longitudinal Analysis of Counties in the Northeastern United States,doi: 10.4269/ajtmh.14-0181,Larsen et al.,2014,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,USA,mapped Lyme disease incidence,Prevalence mapping,Lyme cases,Human,checked,
Seroprevalence of Borrelia burgdorferi antibodies in white-tailed deer from Texas,doi: 10.1016/j.ijppaw.2016.06.002,Adetunji et al.,2016,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Texas, USA",Mapped counties with positive deer seroprevalence,Endemicity mapping,Deer screened for pathogen,White-tailed deer,,
"Prevalence and distribution of seven human pathogens in host-seeking Ixodes scapularis (Acari: Ixodidae) nymphs in Minnesota, USA",doi: 10.1016/j.ttbdis.2018.07.009,Johnson et al.,2018,,Lyme borreliosis,"Anaplasma phagocytophilum, Babesia microti, Borrelia mayonii, Borrelia miyamoti, and Powassan virus",Ixodes scapularis,USA,the United States of America,"Minnesota, USA","Mapped Maximum Likelihood of tick presence, SaTScan","Grey data,Risk mapping,Cluster analysis",Ticks screened for pathogens,,,drag sampling
Lyme disease in France: a primary care-based prospective study.,doi: 10.1017/S0950268805004413,Letrilliart et al.,2005,,Lyme borreliosis,,,FRA,France,France,Mapped estimated incidence,Endemicity mapping,Suspected Lyme cases reported by general practioners,Human,checked,
"Landscape determinants of density of blacklegged ticks, vectors of Lyme disease, at the northern edge of their distribution in Canada",doi: 10.1038/s41598-019-50858-x,Talbot et al.,2019,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,"Mapped tick abundance, and abundance of infected ticks",Grey data,"Tick abundance, ticks screened for pathogen",,,dragging
Northern and southern blacklegged (deer) ticks are genetically distinct with different histories and Lyme spirochete infection rates,doi: 10.1038/s41598-020-67259-0,Xu et al.,2020,,Lyme borreliosis,,Ixodes scapularis,"USA,CAN,MEX","the United States, Canada, Mexico",North America,MaxEnt,"Ecological niche modeling,Genetic mapping","Tick occurrences, divided into Northern and Southern populations",,,Published literature
"Deer, predators, and the emergence of Lyme disease",doi: 10.1073/pnas.1204536109,Levi et al.,2012,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"New York, Pennsylvania, Virginia, Wisconsin, USA","Mapped Lyme incidence, correlated with deer and predator abundance",Endemicity mapping,Lyme disease cases,Human,checked,
Surveillance for Borrelia burgdorferi in Ixodes Ticks and Small Rodents in British Columbia*,doi: 10.1089/vbz.2015.1854,Morshed et al.,2015,,Lyme borreliosis,,Ixodes sp.,CAN,Canada,"British Columbia, Canada",Mapped seroprevalence of Lyme in ticks and rodents,Grey data,Ticks and rodents screened for pathogens,Rodent,,Flagging
"Passive Surveillance of Ixodes scapularis (Say), Their Biting Activity, and Associated Pathogens in Massachusetts",doi: 10.1089/vbz.2015.1912,Xu et al.,2016,,Lyme borreliosis,Anaplasmosis and Babesia microti,Ixodes scapularis,USA,the United States of America,"Massachusetts, USA",Mapped distribution of tick submissions,Endemicity mapping,Passive tick surveillance data  ,,,Submitted ticks
Insights From the Geographic Spread of the Lyme Disease Epidemic,doi: 10.1093/cid/ciy510,Eddens et al.,2019,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,"Pennsylvania, USA",Mapped Lyme cases over time,Endemicity mapping,Lyme cases,Human,checked,
County-Scale Distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the Continental United States,doi: 10.1093/jme/tjv237,Eisen et al.,2016,checked,Lyme borreliosis,"Borrelia miyamotoi, anaplasmosis (Anaplasma phagocytophilum), babesiosis (Babesia microti), and Powassan virus","Ixodes scapularis,Ixodes pacificus",USA,the United States of America,USA,Mapped distributions and temporal shifts in range,Endemicity mapping,Tick occurrence records,,,Published databases
Modeling the Geographic Distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the Contiguous United States,doi: 10.1093/jme/tjw076,Hahn et al.,2016,checked,Lyme borreliosis,"Anaplasmosis, Babesiosis, and Powassan virus diseas","Ixodes scapularis,Ixodes pacificus",USA,the United States of America,USA,"SDM of vectors (BRT, GLM, MARS, Maxent)",Ecological niche modeling,Tick occurrences ,,,Published databases
Impact of Unexplored Data Sources on the Historical Distribution of Three Vector Tick Species in Illinois,doi: 10.1093/jme/tjz235,Gilliam et al.,2020,checked,Lyme borreliosis,"Ehrlichiosis, Anaplasmosis, Rocky Mountain Spotted Fever, Tularemia, Heartland Virus","Amblyomma americanum,Dermacentor variabilis,Ixodes scapularis",USA,the United States of America,"Illinois, USA",Mapped distribution records,Endemicity mapping,Tick occurrences,,,Published and previously unpublished records
"Geographic Expansion of Lyme Disease in the Southeastern United States, 2000–2014",doi: 10.1093/ofid/ofv143,Lantos et al.,2015,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,"Virginia and North Carolina, USA","SaTScan, cluster analysis (Oden's Ipop), mapped average increas in annual cases","Risk mapping,Cluster analysis",Lyme cases,Human,checked,
Climate and Tick Seasonality Are Predictors of Borrelia burgdorferi Genotype Distribution,doi: 10.1128/AEM.02633-08,Gatewood et al.,2009,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,USA,Mapped proportion of ticks infected with B. burgdorferi,Grey data,Ticks screened for pathogens,,,Dragging
The demographics and geographic distribution of laboratory-confirmed Lyme disease cases in England and Wales (2013–2016): an ecological study,doi: 10.1136/bmjopen-2018-028064,Tulloch et al.,2019,,Lyme borreliosis,,Ixodes ricinus,GBR,United Kingdom of Great Britain and Northern Ireland,"England and Wales, United Kingdom","Mapped incidence, cluster analysis (Global and Local Moran's I)","Prevalence mapping,Cluster analysis",Human lyme cases  ,Human,checked,
Determinants of the geographic distribution of Puumala virus and Lyme borreliosis infections in Belgium,doi: 10.1186/1476-072X-6-15,Linard et al.,2007,,Lyme borreliosis,,Ixodes ricinus,BEL,Belgium  ,Belgium,"spatial negative binomial regression, mapped incidence","Prevalence mapping,Prevalence modeling",Human Lyme cases,Human,checked,
Multi-source analysis reveals latitudinal and altitudinal shifts in range of Ixodes ricinus at its northern distribution limit,doi: 10.1186/1756-3305-4-84,Jore et  al.,2011,,Lyme borreliosis,,Ixodes ricinus,NOR,Norway,Norway,PCA analysis and mapped Lyme incidence,"Endemicity mapping,Prevalence mapping,Risk mapping,Grey data",Tick occurrences and human Lyme incidence,Human,checked,"Reported observations from veterinarians, deer hunters, and newspapers"
Spatial disaggregation of tick occurrence and ecology at a local scale as a preliminary step for spatial surveillance of tick-borne diseases: general framework and health implications in Belgium,doi: 10.1186/1756-3305-6-190,Obsomer et al.,2013,checked,Lyme borreliosis,Anaplasma phagocythophilum,Ixodes ricinus,BEL,Belgium  ,Belgium,Mapped occurrences of tick species,Grey data,,,,"New tick collections (flagging), published literature, and grey datasets"
Adverse moisture events predict seasonal abundance of Lyme disease vector ticks (Ixodes scapularis),doi: 10.1186/1756-3305-7-181,Berger et al.,2014,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Rhode Island, USA",Mapped density over time,Endemicity mapping,Nymphal tick density,,,State tick surveillance database
"Canine infection with Dirofilaria immitis, Borrelia burgdorferi, Anaplasma spp., and Ehrlichia spp. in the United States, 2010–2012",doi: 10.1186/1756-3305-7-257,Little et al.,2014,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,USA,Mapped canine seroprevalence,Endemicity mapping,Canine seropositivity via veterinarians,Domestic dog,,
"Time trend of clinical cases of Lyme disease in two hospitals in Belgium, 2000–2013",doi: 10.1186/s12879-017-2841-7,de Keukeleire et al.,2017,,Lyme borreliosis,,Ixodes sp.,BEL,Belgium  ,Belgium,Mapped prevalence of cases reported to hospitals,Grey data,Lyme cases,Human,checked,
Decrease in tick bite consultations and stabilization of early Lyme borreliosis in the Netherlands in 2014 after 15 years of continuous increase,doi: 10.1186/s12889-016-3105-y,Hofhuis et al.,2016,,Lyme borreliosis,,Ixodes ricinus,NLD,the Netherlands,Netherlands,Mapped incidence over time,Prevalence mapping,Clinically diagnosed erythema migrans,Human,checked,
Estimating Ixodes ricinus densities on the landscape scale,doi: 10.1186/s12942-015-0015-7,Boehnke et al.,2015,checked,Lyme borreliosis,"TBEV, anaplasmosis",Ixodes ricinus,DEU,Germany,Germany,Projected Poisson regression models,"Prevalence modeling,Risk mapping",Tick density,,,flagging
Climate suitability for European ticks: assessing species distribution models against null models and projection under AR5 climate,doi: 10.1186/s13071-015-1046-4,Williams et al.,2015,checked,Lyme borreliosis,,Ixodes ricinus,,Europe,Europe,Maxent and Mahalanobis Distance SDMs ,"Grey data,Ecological niche modeling",Tick occurrences,,,Published data
The influence of red deer space use on the distribution of Ixodes ricinus ticks in the landscape,doi: 10.1186/s13071-016-1825-6,Qviller et al.,2016,checked,Lyme borreliosis,,Ixodes ricinus,NOR,Norway,Norway,projected negative binomial model,"Prevalence modeling,Prevalence mapping",Tick abundance,,,flagging
The impact of temperature and precipitation on blacklegged tick activity and Lyme disease incidence in endemic and emerging regions,doi: 10.1186/s13071-016-1894-6,Burtis et al.,2016,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"New England, USA",Mapped incidence over time,Prevalence mapping,Human Lyme cases,Human,checked,
"Canine infection with Borrelia burgdorferi, Dirofilaria immitis, Anaplasma spp. and Ehrlichia spp. in Canada, 2013–2014",doi: 10.1186/s13071-017-2184-7,Herrin et al.,2017,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,Mapped positive percentages from samples,Endemicity mapping,B. burgdorferi assays run on canine samples from veterinary clinics,Domestic dog,,
Using imperfect data in predictive mapping of vectors: a regional example of Ixodes ricinus distribution,doi: 10.1186/s13071-019-3784-1,Ribeiro et al.,2019,checked,Lyme borreliosis,,Ixodes ricinus,GBR,United Kingdom of Great Britain and Northern Ireland,"Scotland, UK",Integrated Nested Laplace algorithm,"Grey data,Prevalence mapping,Prevalence modeling,Risk mapping",Tick occurrences,,,"dragging, public tick submissions, and combine datasets"
Active and Passive Surveillance and Phylogenetic Analysis of Borrelia burgdorferi Elucidate the Process of Lyme Disease Risk Emergence in Canada,doi: 10.1289/ehp.0901766,Ogden et al.,2010,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,SaTScan,"Cluster analysis,Grey data",Ticks screened for pathogen ,,,"Passive surveillance via medical and veterinary clinics, active collection of ticks on trapped rodents"
Estimated Effects of Projected Climate Change on the Basic Reproductive Number of the Lyme Disease Vector Ixodes scapularis,doi: 10.1289/ehp.1307799,Ogden et al.,2014,,Lyme borreliosis,,Ixodes scapularis,"USA,CAN","the United States of America, Canada",USA and Canada,Mapped R0 for tick vector,Risk mapping,I. scapularis population model,,,
Lyme Disease Risks in Europe under Multiple Uncertain Drivers of Change,doi: 10.1289/EHP4615,Li et al.,2019,,Lyme borreliosis,,Ixodes ricinus,,Europe,Europe,Agent based model (LYMERISK),"Prevalence modeling,Risk mapping",Tick data used for model validation,,,Published literature
Expansion of the Lyme Disease Vector Ixodes Scapularis in Canada Inferred from CMIP5 Climate Projections,doi: 10.1289/EHP57,McPherson et al.,2017,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,multimodel climate projections of tick R0,"Grey data,Risk mapping",Tick Ro and climate models,,,
"Population-Based Passive Tick Surveillance and Detection of Expanding Foci of Blacklegged Ticks Ixodes scapularis and the Lyme Disease Agent Borrelia burgdorferi in Ontario, Canada",doi: 10.1371/journal.pone.0105358,Nelder et al.,2014,,Lyme borreliosis,"Mapped collections of Dermacentor variabilis, Ixodes cookei and Amblyomma americanum",Ixodes scapularis,CAN,Canada,"Ontario, Canada","Mapped prevalence of ticks, and ticks screened for pathogens","Endemicity mapping,Grey data",Ticks screened for pathogens,,,Submitted ticks from public
Gray Wolf Exposure to Emerging Vector-Borne Diseases in Wisconsin with Comparison to Domestic Dogs and Humans,doi: 10.1371/journal.pone.0165836,Jara et al.,2016,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Wisconsin, USA","SaTScan and mapped prevalence of wolf, domestic dog seropositivity, and human cases",Cluster analysis,"Wolf and dog seropositivity, human cases","Human,Domestic dog,Wild canid",checked,
"A Bayesian spatio-temporal model for forecasting the prevalence of antibodies to Borrelia burgdorferi, causative agent of Lyme disease, in domestic dogs within the contiguous United States",doi: 10.1371/journal.pone.0174428,Watson et al.,2017,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,USA,"Bayesian spatio-temporal forecast model, mapped prevalence","Endemicity mapping,Prevalence modeling,Prevalence mapping",Seroprevalence of domestic dogs,Domestic dog,,
"Northward range expansion of Ixodes scapularis evident over a short timescale in Ontario, Canada",doi: 10.1371/journal.pone.0189393,Clow et al. ,2017,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada",Spatial summary statistics,"Grey data,Cluster analysis",Ticks screened for pathogens,,,drag sampling
Spatial clustering of Borrelia burgdorferi sensu lato within populations of Allen's chipmunks and dusky-footed woodrats in northwestern California,doi: 10.1371/journal.pone.0195586,Hacker et al.,2018,,Lyme borreliosis,,Ixodes pacificus,USA,the United States of America,"California, USA",SaTScan and mapped rodents with infection,"Grey data,Cluster analysis",positive rodent reservoirs,Rodent,,
Using citizen science to describe the prevalence and distribution of tick bite and exposure to tick-borne diseases in the United States,doi: 10.1371/journal.pone.0199644,Nieto et al.,2018,,Lyme borreliosis,"Borrelia miyamotoi and B. mayonii, granulocytic anaplasmosis (Anaplasma phagocytophilum), human monocytic ehrlichiosis (Ehrlichia chaffeensis), and human babesiosis (Babesia microti), also vectors Amblyomma americanum, Dermacentor variabilis, D. andersoni and D. occidentalis, and Rhipicephalus sanguineus ","Ixodes scapularis,Ixodes pacificus",USA,the United States of America,USA,Mapped tick abundance,Endemicity mapping,"Passive tick surveillance data, screened for pathogens",,,Citizen science submitted ticks
Detection of municipalities at-risk of Lyme disease using passive surveillance of Ixodes scapularis as an early signal: A province-specific indicator in Canada,doi: 10.1371/journal.pone.0212637,Gasmi et al.,2019,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,Mapped Lyme and tick prevalence,Endemicity mapping,Passive tick and Lyme surveillance,Human,checked,
"The continued rise of Lyme disease in Ontario, Canada: 2017",doi: 10.14745/ccdr.v44i10a01,Nelder et al.,2018,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada",Mapped incidence,Prevalence mapping,Lyme cases,Human,checked,
"Ixodes scapularis tick distribution and infection rates in Ottawa, Ontario, 2017",doi: 10.14745/ccdr.v44i10a02,Kulkarni et al.,2018,,Lyme borreliosis,Borrelia miyamotoi and Anaplasma phagocytophilum,Ixodes scapularis,CAN,Canada,"Ontario, Canada",Mapped tick occurrences with buffered areas of risk,"Grey data,Risk mapping",Ticks screened for pathogens,,,drag sampling
Geographical and environmental factors driving the increase in the Lyme disease vector Ixodes scapularis,doi: 10.1890/ES12-00134.1,Khatchikian et al.,2012,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"New York, USA",Projected multiple regression models,"Prevalence modeling,Risk mapping",Nymphal and adult tick densities,,,dragging
"Predicting and mapping human risk of exposure to Ixodes ricinus nymphs using climatic and environmental data, Denmark, Norway and Sweden, 2016",doi: 10.2807/1560-7917.ES.2019.24.9.1800101,Kjaer et al.,2019,checked,Lyme borreliosis,TBEV,Ixodes ricinus,"DNK,NOR,SWE","Denmark, Norway, Sweden","Denmark, Norway, and Sweden",BRT,"Ecological niche modeling,Grey data",Tick occurrences (presence/absence),,,dragging
"Lyme Disease Emergence after Invasion of the Blacklegged Tick, Ixodes scapularis, Ontario, Canada, 2010–2016",doi: 10.3201/eid2502.180771,Kulkarni et al.,2019,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada","Mapped prevalence of pathogen in tick over time, mapped human Lyme incidence over time, SaTScan","Prevalence mapping,Cluster analysis",Lyme cases and tick surveillance data,Human,checked,Passive surveillance
Distribution of Ixodes scapularis in Northwestern Ontario: Results from Active and Passive Surveillance Activities in the Northwestern Health Unit Catchment Area,doi: 10.3390/ijerph15102225,Schillberg et al.,2018,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada","Mapped prevalance of ticks, and infected ticks",Grey data,Ticks screened for pathogens,,,passive surveillance
Spatially-Explicit Simulation Modeling of Ecological Response to Climate Change: Methodological Considerations in Predicting Shifting Population Dynamics of Infectious Disease Vectors,doi: 10.3390/ijgi2030645,Dhingra et al.,2013,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,USA,simulations with dynamic population models,Risk mapping,,,,
"Human Risk of Infection with Borrelia burgdorferi, the Lyme Disease Agent, in Eastern United States",doi: 10.4269/ajtmh.2012.11-0395,Diuk-Wasser et al.,2012,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,eastern USA,Projected zero-inflated negative binomial regression model,"Grey data,Risk mapping,Prevalence modeling",Tick abundance,,,dragging
Geographic Variation in the Relationship between Human Lyme Disease Incidence and Density of Infected Host-Seeking Ixodes scapularis Nymphs in the Eastern United States,doi: 10.4269/ajtmh.2012.11-0630,Pepin et al.,2012,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,eastern USA,"Mapped human Lyme incidence, density of nymphs, and density of infected nymps","Risk mapping,Prevalence mapping",Human cases and tick densities,Human,checked,dragging
Effect of latitude on the rate of change in incidence of Lyme disease in the United States,doi: 10.9778/cmajo.20120002,Tuite et al.,2013,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,USA,"Mapped incidence, and change in incidence over time","Endemicity mapping,Risk mapping",Lyme incidence,Human,checked,
Environmental risk factors for Lyme disease identified with geographic information systems.,https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.85.7.944,"Gregory E. Glass, PhD, Brian S. Schwartiz, MD, MS, John M. Moigan III, PhD, Dale T. Johnson, MA, Peter M. Nov, and Ebenezer Israel, MD",1995,,Lyme borreliosis,,,USA,the United States of America,Maryland,risk density map from logistic regression,"Prevalence modeling,Risk mapping",patient cases,Human,checked,
Effect of Climate Change on Lyme Disease Risk in North America,https://doi.org/10.1007/s10393-004-0139-x,"John S. Brownstein, Theodore R. Holford & Durland Fish ",2005,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,Eastern US,"climate suitability model , possibly logistic regression","Endemicity mapping,Ecological niche modeling",Probability surface to smooth known tick occurrences ,,,
Seasonal vegetation variables and their impact on the spatio-temporal patterns of nephropathia epidemica and Lyme borreliosis in Belgium,https://doi.org/10.1016/j.apgeog.2013.09.019,J.M.BarriosaW.W.VerstraetenbcP.MaesdJ.M.AertsaJ.FariftehaP.Coppina,2013,,Lyme borreliosis,,Ixodes sp.,BEL,Belgium  ,Belgium,Moran's I,Cluster analysis,Lyme cases,Human,checked,
Old health risks in new places? An ecological niche model for I. ricinus tick distribution in Europe under a changing climate,https://doi.org/10.1016/j.healthplace.2014.08.004,Melanie Boeckmann T. Andrew Joyner,2014,checked,Lyme borreliosis,TBEV,Ixodes ricinus,,Europe,Europe,GARP,"Ecological niche modeling,Grey data",Tick occurrences  ,,,GBIF
Evaluating a mixed abiotic–biotic model for the distribution and host contact rates of an arthropod vector of pathogens: An example with Ixodes ricinus (Ixodidae,https://doi.org/10.1016/j.mran.2018.12.001,AgustínEstrada-PeñaaAmieAdkinbSilviaBertolinicCharlotteCookbMaria InesCresciodVladimirGrosboiseVerityHoriganbSophieIpfAnaïsLegergGianlucaMastrantoniocCristianaMaurelladMarcode NardicGiuseppeRudRobinSimonsdEmmaSnarybKatharinaStaerkgRachelTaylorbGraham C.Smithh,2019,checked,Lyme borreliosis,TBEV,Ixodes ricinus,,Europe,Western  palaearctc (Europe),MaxEnt and host interactions,"Risk mapping,Ecological niche modeling",Tick occurrences,,,published literature   
"Mapping human risk of infection with Borrelia burgdorferi sensu lato, the agent of Lyme borreliosis, in a periurban forest in France",https://doi.org/10.1016/j.ttbdis.2016.02.008,G.Vourc’haD.AbrialaS.BordaM.Jacquota1S.MasségliaaV.PouxaB.PisanubX.BaillyaJ.-L.Chapuisb,2016,,Lyme borreliosis,"Human Anaplasmosis, shared host with Anaplasma phagocytophilum",Ixodes ricinus,FRA,France,France,"GLM, Moran's I",Risk mapping,"density of nymphs, density of infected nymphs, and nymphal infection prevalence",,,
Update on the presence of Ixodes ricinus at the western limit of its range and the prevalence of Borrelia burgdorferi sensu lato,https://doi.org/10.1016/j.ttbdis.2020.101518,AnnettaZintlaTaherZaidaFionaMcKiernanaAmaliaNaranjo-LucenaaJeremyGraybSorchaBrosnanaJohnBrownecJackO’ConnordJohnMeeeBarbaraGoodfEmma L.GillinghamgAlexander G.C.VauxgJolyonMedlockg,2020,,Lyme borreliosis,,Ixodes ricinus,IRL,Ireland,Ireland,BRT and RF,"Ecological niche modeling,Grey data",Nymphal and adult ticks,,,flagging
